date,day_of_week,day_of_week_num,month,year,shift,shift_hour,is_weekend,is_holiday,station_id,station_factor,fuel_type,price_per_liter,predicted_demand_liters,actual_demand_liters,demand_accuracy,num_transactions,avg_liters_per_transaction,avg_wait_time_minutes,peak_wait_time_minutes,tank_capacity_liters,stock_before_liters,stock_after_liters,stock_percentage,alert_status,recommended_staff,temperature_celsius,rainfall_mm,revenue_lkr,seasonal_factor,shift_multiplier,weekend_multiplier,holiday_multiplier,weather_multiplier
2022-10-29,Saturday,5,10,2022,afternoon,14,1,0,Station_D,1.1,Diesel,363.51,1732.5,1572.92,90.79,36,43.69,6.5,6.5,15000,7677.26,6104.34,40.7,normal,4,23.0,94.9,571774.47,0.7,1.0,1.25,1.0,1.0
2022-03-08,Tuesday,1,3,2022,morning,8,0,0,Station_E,0.8,Diesel,361.76,2358.36,2779.23,82.15,63,44.11,9.2,13.8,20000,17662.69,14883.46,74.4,normal,5,29.8,0.0,1005423.94,1.26,1.3,1.0,1.0,1.0
2024-05-10,Friday,4,5,2024,evening,20,0,0,Station_A,1.2,Super_Diesel,422.56,899.5,909.95,98.84,20,45.5,8.2,8.2,20000,16594.52,15684.57,78.4,normal,2,30.8,5.2,384506.05,1.26,0.85,1.0,1.0,1.0
2024-10-30,Wednesday,2,10,2024,morning,8,0,0,Station_D,1.1,Petrol_92,376.88,1426.43,1363.32,95.58,32,42.6,6.6,9.9,20000,15072.6,13709.28,68.5,normal,3,25.7,106.5,513806.06,0.7,1.3,1.0,1.0,0.95
2022-12-03,Saturday,5,12,2022,evening,20,1,0,Station_A,1.2,Petrol_92,384.67,1625.62,2018.1,75.86,53,38.08,8.4,8.4,10000,8301.64,6283.54,62.8,normal,5,26.6,39.8,776293.02,0.85,0.85,1.25,1.0,1.0
2022-04-17,Sunday,6,4,2022,afternoon,14,1,0,Station_A,1.2,Super_Diesel,420.66,1365.0,1301.18,95.32,36,36.14,10.4,10.4,20000,17724.53,16423.35,82.1,normal,3,33.9,0.0,547358.31,1.3,1.0,1.25,1.0,1.0
2024-12-21,Saturday,5,12,2024,afternoon,14,1,0,Station_C,0.9,Petrol_92,379.29,1434.37,1341.94,93.56,30,44.73,6.6,6.6,20000,17465.65,16123.71,80.6,normal,3,27.5,1.5,508991.06,0.85,1.0,1.25,1.0,1.0
2022-12-28,Wednesday,2,12,2022,evening,20,0,0,Station_D,1.1,Diesel,359.68,1430.55,1905.76,66.78,51,37.37,7.2,7.2,10000,6941.8,5036.04,50.4,normal,4,30.8,0.0,685457.13,0.85,0.85,1.0,1.0,1.0
2024-10-01,Tuesday,1,10,2024,afternoon,14,0,0,Station_C,0.9,Petrol_95,451.41,538.65,776.01,55.93,17,45.65,6.4,6.4,15000,8972.56,8196.55,54.6,normal,2,22.9,134.3,350296.97,0.7,1.0,1.0,1.0,0.95
2023-06-28,Wednesday,2,6,2023,afternoon,14,0,0,Station_B,1.0,Petrol_95,445.25,1035.0,1130.43,90.78,30,37.68,8.0,8.0,15000,8496.55,7366.12,49.1,normal,3,29.6,0.0,503329.19,1.15,1.0,1.0,1.0,1.0
2023-01-11,Wednesday,2,1,2023,morning,8,0,0,Station_D,1.1,Petrol_92,375.51,2145.0,1847.82,86.15,42,44.0,7.9,11.9,15000,8921.8,7073.98,47.2,normal,4,26.7,0.0,693874.45,1.0,1.3,1.0,1.0,1.0
2022-10-06,Thursday,3,10,2022,afternoon,14,0,0,Station_B,1.0,Diesel,356.84,1197.0,1609.86,65.51,41,39.26,6.6,6.6,20000,16755.73,15145.87,75.7,normal,4,21.4,116.0,574463.75,0.7,1.0,1.0,1.0,0.95
2023-04-30,Sunday,6,4,2023,evening,20,1,0,Station_C,0.9,Petrol_95,452.19,1118.81,1347.5,79.56,30,44.92,9.0,9.0,10000,7280.01,5932.51,59.3,normal,3,29.8,0.0,609323.72,1.3,0.85,1.25,1.0,1.0
2023-05-16,Tuesday,1,5,2023,afternoon,14,0,0,Station_D,1.1,Petrol_95,448.38,1247.21,1496.18,80.04,42,35.62,9.6,9.6,15000,10174.6,8678.42,57.9,normal,3,25.9,77.5,670857.58,1.26,1.0,1.0,1.0,1.0
