stationId,stationName,brand,province,town,latitude,longitude,petrolAvailability,dieselAvailability,superPetrolAvailability,lastUpdated,availabilityConfidence,estimatedWaitTime
     FS001, IOC Fuel Station Colombo Fort, IOC, Western,  Colombo,6.9271,79.8612,  Available,  Available,  Available,12/26/2025 14:45,  High,5
     FS002, CEYPETCO Filling Station Bambalapitiya, CEYPETCO, Western,  Colombo,6.8905,79.8563,  Available,  Not Available,  Available,12/26/2025 14:15,  Medium,25
     FS003, Shell Galle Road, Shell, Western,  Colombo,6.8649,79.8577,  Available,  Available,  Available,12/26/2025 15:00,  High,10
     FS004, IOC Nugegoda Junction, IOC, Western,  Nugegoda,6.8649,79.8897,  Not Available,  Available,  Not Available,12/26/2025 12:50,  Low,45
     FS005, CEYPETCO Maharagama, CEYPETCO, Western,  Maharagama,6.8484,79.9267,  Available,  Available,  Not Available,12/26/2025 14:30,  High,15
     FS006, Shell Moratuwa, Shell, Western,  Moratuwa,6.773,79.8816,  Available,  Available,  Available,12/26/2025 15:15,  High,8
     FS007, IOC Panadura Town, IOC, Western,  Panadura,6.7133,79.9026,  Available,  Not Available,  Available,12/26/2025 14:00,  Medium,30
     FS008, CEYPETCO Kalutara, CEYPETCO, Western,  Kalutara,6.5854,79.9607,  Available,  Available,  Available,12/26/2025 14:40,  High,12
     FS009, Shell Beruwala, Shell, Western,  Beruwala,6.4788,79.9826,  Not Available,  Available,  Not Available,12/26/2025 12:30,  Low,50
     FS010, IOC Horana Road, IOC, Western,  Horana,6.7153,80.0631,  Available,  Available,  Not Available,12/26/2025 14:20,  Medium,20
     FS011, CEYPETCO Gampaha, CEYPETCO, Western,  Gampaha,7.0911,80.0161,  Available,  Available,  Available,12/26/2025 14:50,  High,7
     FS012, Shell Negombo, Shell, Western,  Negombo,7.2008,79.8358,  Available,  Not Available,  Available,12/26/2025 13:45,  Medium,35
     FS013, IOC Katunayake, IOC, Western,  Katunayake,7.1697,79.8841,  Available,  Available,  Available,12/26/2025 15:10,  High,5
     FS014, CEYPETCO Ja-Ela, CEYPETCO, Western,  Ja-Ela,7.0744,79.8919,  Not Available,  Available,  Not Available,12/26/2025 12:15,  Low,55
     FS015, Shell Wattala, Shell, Western,  Wattala,6.9889,79.8917,  Available,  Available,  Available,12/26/2025 14:55,  High,10
     FS016, IOC Kelaniya, IOC, Western,  Kelaniya,6.9553,79.9217,  Available,  Available,  Not Available,12/26/2025 14:25,  Medium,18
     FS017, CEYPETCO Kadawatha, CEYPETCO, Western,  Kadawatha,7.0008,79.9531,  Available,  Not Available,  Available,12/26/2025 13:40,  Medium,28
     FS018, Shell Ragama, Shell, Western,  Ragama,7.0278,79.9164,  Available,  Available,  Available,12/26/2025 15:05,  High,6
     FS019, IOC Kiribathgoda, IOC, Western,  Kiribathgoda,6.9803,79.9294,  Not Available,  Available,  Not Available,12/26/2025 13:00,  Low,42
