id,reading,reading_time,Fuel Volume (L)
1,23.02,11/20/2025 17:17,12.63
2,23.22,11/20/2025 17:17,12.46
3,23.22,11/20/2025 17:18,12.46
4,23.22,11/20/2025 17:18,12.46
5,23.22,11/20/2025 17:18,12.46
6,23.27,11/20/2025 17:19,12.42
7,23.29,11/20/2025 17:19,12.4
8,23.4,11/20/2025 17:19,12.31
9,23.43,11/20/2025 17:20,12.28
10,23.46,11/20/2025 17:20,12.26
11,23.46,11/20/2025 17:20,12.26
12,23.51,11/20/2025 17:20,12.21
13,23.62,11/20/2025 17:21,12.12
14,23.62,11/20/2025 17:21,12.12
15,23.62,11/20/2025 17:21,12.12
16,23.63,11/20/2025 17:22,12.11
17,23.63,11/20/2025 17:22,12.11
18,23.63,11/20/2025 17:22,12.11
19,23.65,11/20/2025 17:22,12.1
20,23.65,11/20/2025 17:23,12.1
21,23.67,11/20/2025 17:23,12.08
22,23.82,11/20/2025 17:23,11.95
23,23.82,11/20/2025 17:23,11.95
24,23.84,11/20/2025 17:24,11.93
25,23.84,11/20/2025 17:24,11.93
26,23.89,11/20/2025 17:24,11.89
27,24.03,11/20/2025 17:24,11.77
28,24.04,11/20/2025 17:25,11.76
29,24.04,11/20/2025 17:25,11.76
30,24.04,11/20/2025 17:25,11.76
31,24.27,11/20/2025 17:25,11.56
32,24.3,11/20/2025 17:26,11.54
33,24.3,11/20/2025 17:26,11.54
34,23.65,11/20/2025 17:26,12.1
35,24.44,11/20/2025 17:26,11.42
36,24.44,11/20/2025 17:27,11.42
37,24.66,11/20/2025 17:27,11.23
38,24.7,11/20/2025 17:27,11.2
39,24.7,11/20/2025 17:27,11.2
40,24.81,11/20/2025 17:28,11.1
41,24.94,11/20/2025 17:28,10.99
42,24.94,11/20/2025 17:28,10.99
43,24.94,11/20/2025 17:29,10.99
44,25.3,11/20/2025 17:29,10.68
45,25.3,11/20/2025 17:29,10.68
46,25.38,11/20/2025 17:29,10.61
47,25.38,11/20/2025 17:30,10.61
48,25.38,11/20/2025 17:30,10.61
49,25.38,11/20/2025 17:30,10.61
50,25.38,11/20/2025 17:30,10.61
51,25.38,11/20/2025 17:31,10.61
52,25.38,11/20/2025 17:31,10.61
53,25.38,11/20/2025 17:31,10.61
54,25.38,11/20/2025 17:32,10.61
55,25.38,11/20/2025 17:32,10.61
56,25.38,11/20/2025 17:32,10.61
57,25.38,11/20/2025 17:32,10.61
58,25.38,11/20/2025 17:33,10.61
59,25.38,11/20/2025 17:33,10.61
60,25.38,11/20/2025 17:33,10.61
61,25.38,11/20/2025 17:33,10.61
62,25.38,11/20/2025 17:34,10.61
63,25.38,11/20/2025 17:34,10.61
64,25.38,11/20/2025 17:34,10.61
65,25.38,11/20/2025 17:34,10.61
66,25.38,11/20/2025 17:35,10.61
67,25.38,11/20/2025 17:35,10.61
68,25.38,11/20/2025 17:35,10.61
69,25.38,11/20/2025 17:35,10.61
70,25.38,11/20/2025 17:36,10.61
71,25.38,11/20/2025 17:36,10.61
72,25.38,11/20/2025 17:36,10.61
73,25.38,11/20/2025 17:36,10.61
74,25.38,11/20/2025 17:37,10.61
75,25.38,11/20/2025 17:37,10.61
76,25.38,11/20/2025 17:37,10.61
77,25.38,11/20/2025 17:37,10.61
78,25.38,11/20/2025 17:38,10.61
79,25.38,11/20/2025 17:38,10.61
80,25.38,11/20/2025 17:38,10.61
81,25.38,11/20/2025 17:38,10.61
82,25.38,11/20/2025 17:39,10.61
83,25.38,11/20/2025 17:39,10.61
84,25.38,11/20/2025 17:39,10.61
85,25.38,11/20/2025 17:40,10.61
86,25.38,11/20/2025 17:40,10.61
87,25.38,11/20/2025 17:40,10.61
88,25.38,11/20/2025 17:40,10.61
89,25.38,11/20/2025 17:41,10.61
90,25.38,11/20/2025 17:41,10.61
91,25.38,11/20/2025 17:41,10.61
92,25.38,11/20/2025 17:41,10.61
93,25.38,11/20/2025 17:42,10.61
94,25.38,11/20/2025 17:42,10.61
95,25.38,11/20/2025 17:42,10.61
96,25.38,11/20/2025 17:42,10.61
97,25.38,11/20/2025 17:43,10.61
98,25.38,11/20/2025 17:43,10.61
99,25.38,11/20/2025 17:43,10.61
100,25.38,11/20/2025 17:43,10.61
101,25.38,11/20/2025 17:44,10.61
102,25.38,11/20/2025 17:44,10.61
103,25.38,11/20/2025 17:44,10.61
104,25.38,11/20/2025 17:44,10.61
105,25.38,11/20/2025 17:45,10.61
106,25.38,11/20/2025 17:45,10.61
107,25.4,11/20/2025 17:46,10.6
108,25.4,11/20/2025 17:46,10.6
109,25.4,11/20/2025 17:46,10.6
110,25.45,11/20/2025 17:46,10.55
111,25.45,11/20/2025 17:47,10.55
112,25.47,11/20/2025 17:47,10.54
113,25.47,11/20/2025 17:47,10.54
114,25.47,11/20/2025 17:48,10.54
115,25.47,11/20/2025 17:48,10.54
116,,11/20/2025 17:48,
117,,11/20/2025 17:48,
118,25.54,11/20/2025 17:49,10.48
119,25.54,11/20/2025 17:49,10.48
120,25.54,11/20/2025 17:49,10.48
121,25.54,11/20/2025 17:49,10.48
122,25.54,11/20/2025 17:50,10.48
123,25.54,11/20/2025 17:50,10.48
124,25.54,11/20/2025 17:50,10.48
125,25.54,11/20/2025 17:51,10.48
126,25.54,11/20/2025 17:51,10.48
127,25.54,11/20/2025 17:51,10.48
128,25.54,11/20/2025 17:51,10.48
129,25.54,11/20/2025 17:52,10.48
130,25.54,11/20/2025 17:52,10.48
131,25.54,11/20/2025 17:52,10.48
132,25.54,11/20/2025 17:52,10.48
133,25.54,11/20/2025 17:53,10.48
134,25.54,11/20/2025 17:53,10.48
135,25.54,11/20/2025 17:53,10.48
136,25.54,11/20/2025 17:53,10.48
137,25.54,11/20/2025 17:54,10.48
138,25.54,11/20/2025 17:54,10.48
139,25.54,11/20/2025 17:54,10.48
140,25.54,11/20/2025 17:54,10.48
141,25.54,11/20/2025 17:55,10.48
142,25.54,11/20/2025 17:55,10.48
143,25.54,11/20/2025 17:55,10.48
144,25.54,11/20/2025 17:55,10.48
145,25.54,11/20/2025 17:56,10.48
